timestamp_local,slot_local,lot_id,name,available,total,region,raw_status
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,20,020 University Avenue Ramp,41,,Central,
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,36,036 Observatory Drive Ramp,50,,Central,
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,67,067 Linden Drive Ramp,77,,Central,
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,6U,006U H.C. White Garage upper,16,,East,
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,7,007 Grainger Hall Garage,10,,East,
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,29,029 N Park Street Ramp,31,,East,
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,46,046 Lake & Johnson Ramp,56,,East,
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,83,083 Fluno Center Garage,3,,East,
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,17,017 Engineering Drive Ramp,27,,South,
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,80,080 Union South Garage,3,,South,
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,63,063 Children's Hospital Garage,0,,West,FULL
2026-08-25T08:31:50-05:00,2026-08-25T09:00:00-05:00,76,076 University Bay Drive Ramp,43,,West,
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,20,020 University Avenue Ramp,13,,Central,
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,36,036 Observatory Drive Ramp,64,,Central,
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,67,067 Linden Drive Ramp,50,,Central,
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,7,007 Grainger Hall Garage,20,,East,
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,29,029 N Park Street Ramp,30,,East,
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,46,046 Lake & Johnson Ramp,73,,East,
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,83,083 Fluno Center Garage,0,,East,FULL
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,17,017 Engineering Drive Ramp,85,,South,
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,80,080 Union South Garage,0,,South,FULL
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,63,063 Children's Hospital Garage,0,,West,FULL
2026-08-25T09:25:26-05:00,2026-08-25T09:00:00-05:00,76,076 University Bay Drive Ramp,51,,West,
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,20,020 University Avenue Ramp,0,,Central,FULL
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,36,036 Observatory Drive Ramp,54,,Central,
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,67,067 Linden Drive Ramp,42,,Central,
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,7,007 Grainger Hall Garage,10,,East,
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,29,029 N Park Street Ramp,30,,East,
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,46,046 Lake & Johnson Ramp,65,,East,
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,83,083 Fluno Center Garage,0,,East,FULL
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,17,017 Engineering Drive Ramp,61,,South,
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,80,080 Union South Garage,5,,South,
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,63,063 Children's Hospital Garage,4,,West,
2026-08-25T10:25:38-05:00,2026-08-25T10:00:00-05:00,76,076 University Bay Drive Ramp,18,,West,
