timestamp_local,slot_local,lot_id,name,available,total,region,raw_status
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,20,020 University Avenue Ramp,7,,Central,
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,27,027 Nancy Nicholas Hall Garage,2,,Central,
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,36,036 Observatory Drive Ramp,4,,Central,
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,67,067 Linden Drive Ramp,47,,Central,
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,7,007 Grainger Hall Garage,17,,East,
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,29,029 N Park Street Ramp,7,,East,
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,46,046 Lake & Johnson Ramp,24,,East,
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,83,083 Fluno Center Garage,0,,East,FULL
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,17,017 Engineering Drive Ramp,25,,South,
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,80,080 Union South Garage,10,,South,
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,63,063 Children's Hospital Garage,14,,West,
2026-09-01T11:53:16-05:00,2026-09-01T12:00:00-05:00,76,076 University Bay Drive Ramp,7,,West,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,20,020 University Avenue Ramp,20,,Central,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,27,027 Nancy Nicholas Hall Garage,5,,Central,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,36,036 Observatory Drive Ramp,34,,Central,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,67,067 Linden Drive Ramp,74,,Central,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,6U,006U H.C. White Garage upper,9,,East,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,7,007 Grainger Hall Garage,41,,East,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,29,029 N Park Street Ramp,6,,East,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,46,046 Lake & Johnson Ramp,42,,East,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,83,083 Fluno Center Garage,8,,East,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,17,017 Engineering Drive Ramp,0,,South,FULL
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,80,080 Union South Garage,24,,South,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,63,063 Children's Hospital Garage,16,,West,
2026-09-01T15:08:55-05:00,2026-09-01T15:00:00-05:00,76,076 University Bay Drive Ramp,53,,West,
