timestamp_local,slot_local,lot_id,name,available,total,region,raw_status
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,20,020 University Avenue Ramp,9,,Central,
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,36,036 Observatory Drive Ramp,6,,Central,
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,67,067 Linden Drive Ramp,0,,Central,FULL
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,7,007 Grainger Hall Garage,0,,East,FULL
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,29,029 N Park Street Ramp,11,,East,
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,46,046 Lake & Johnson Ramp,3,,East,
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,83,083 Fluno Center Garage,0,,East,FULL
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,17,017 Engineering Drive Ramp,26,,South,
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,80,080 Union South Garage,0,,South,FULL
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,63,063 Children's Hospital Garage,5,,West,
2026-09-03T09:56:42-05:00,2026-09-03T10:00:00-05:00,76,076 University Bay Drive Ramp,14,,West,
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,20,020 University Avenue Ramp,0,,Central,FULL
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,36,036 Observatory Drive Ramp,5,,Central,
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,67,067 Linden Drive Ramp,3,,Central,
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,6U,006U H.C. White Garage upper,5,,East,
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,7,007 Grainger Hall Garage,5,,East,
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,29,029 N Park Street Ramp,5,,East,
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,46,046 Lake & Johnson Ramp,0,,East,FULL
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,83,083 Fluno Center Garage,0,,East,FULL
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,17,017 Engineering Drive Ramp,0,,South,FULL
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,80,080 Union South Garage,0,,South,FULL
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,63,063 Children's Hospital Garage,0,,West,FULL
2026-09-03T13:27:04-05:00,2026-09-03T13:00:00-05:00,76,076 University Bay Drive Ramp,51,,West,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,20,020 University Avenue Ramp,16,,Central,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,27,027 Nancy Nicholas Hall Garage,4,,Central,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,36,036 Observatory Drive Ramp,19,,Central,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,67,067 Linden Drive Ramp,36,,Central,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,6U,006U H.C. White Garage upper,5,,East,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,7,007 Grainger Hall Garage,36,,East,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,29,029 N Park Street Ramp,22,,East,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,46,046 Lake & Johnson Ramp,0,,East,FULL
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,83,083 Fluno Center Garage,8,,East,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,17,017 Engineering Drive Ramp,0,,South,FULL
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,80,080 Union South Garage,10,,South,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,63,063 Children's Hospital Garage,12,,West,
2026-09-03T16:20:27-05:00,2026-09-03T16:00:00-05:00,76,076 University Bay Drive Ramp,157,,West,
