timestamp_local,lot_id,name,available,total,region,raw_status
2026-08-17T21:49:42-05:00,20,020 University Avenue Ramp,102,,Central,
2026-08-17T21:49:42-05:00,27,027 Nancy Nicholas Hall Garage,19,,Central,
2026-08-17T21:49:42-05:00,36,036 Observatory Drive Ramp,341,,Central,
2026-08-17T21:49:42-05:00,67,067 Linden Drive Ramp,347,,Central,
2026-08-17T21:49:42-05:00,6L,006L H.C. White Garage lower,50,,East,
2026-08-17T21:49:42-05:00,6U,006U H.C. White Garage upper,25,,East,
2026-08-17T21:49:42-05:00,7,007 Grainger Hall Garage,180,,East,
2026-08-17T21:49:42-05:00,29,029 N Park Street Ramp,221,,East,
2026-08-17T21:49:42-05:00,46,046 Lake & Johnson Ramp,248,,East,
2026-08-17T21:49:42-05:00,83,083 Fluno Center Garage,31,,East,
2026-08-17T21:49:42-05:00,17,017 Engineering Drive Ramp,571,,South,
2026-08-17T21:49:42-05:00,80,080 Union South Garage,54,,South,
2026-08-17T21:49:42-05:00,63,063 Children's Hospital Garage,41,,West,
2026-08-17T21:49:42-05:00,76,076 University Bay Drive Ramp,1061,,West,
