timestamp_local,slot_local,lot_id,name,available,total,region,raw_status
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,20,020 University Avenue Ramp,2,,Central,
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,36,036 Observatory Drive Ramp,6,,Central,
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,67,067 Linden Drive Ramp,9,,Central,
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,7,007 Grainger Hall Garage,0,,East,FULL
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,29,029 N Park Street Ramp,11,,East,
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,46,046 Lake & Johnson Ramp,5,,East,
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,83,083 Fluno Center Garage,0,,East,FULL
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,17,017 Engineering Drive Ramp,39,,South,
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,80,080 Union South Garage,0,,South,FULL
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,63,063 Children's Hospital Garage,19,,West,
2026-09-09T10:04:35-05:00,2026-09-09T10:00:00-05:00,76,076 University Bay Drive Ramp,0,,West,FULL
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,20,020 University Avenue Ramp,4,,Central,
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,27,027 Nancy Nicholas Hall Garage,2,,Central,
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,36,036 Observatory Drive Ramp,3,,Central,
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,67,067 Linden Drive Ramp,23,,Central,
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,7,007 Grainger Hall Garage,0,,East,FULL
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,29,029 N Park Street Ramp,15,,East,
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,46,046 Lake & Johnson Ramp,0,,East,FULL
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,83,083 Fluno Center Garage,0,,East,FULL
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,17,017 Engineering Drive Ramp,35,,South,
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,80,080 Union South Garage,4,,South,
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,63,063 Children's Hospital Garage,0,,West,FULL
2026-09-09T13:30:36-05:00,2026-09-09T14:00:00-05:00,76,076 University Bay Drive Ramp,41,,West,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,20,020 University Avenue Ramp,30,,Central,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,27,027 Nancy Nicholas Hall Garage,3,,Central,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,36,036 Observatory Drive Ramp,17,,Central,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,67,067 Linden Drive Ramp,57,,Central,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,6U,006U H.C. White Garage upper,5,,East,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,7,007 Grainger Hall Garage,22,,East,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,29,029 N Park Street Ramp,20,,East,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,46,046 Lake & Johnson Ramp,0,,East,FULL
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,83,083 Fluno Center Garage,0,,East,FULL
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,17,017 Engineering Drive Ramp,110,,South,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,80,080 Union South Garage,19,,South,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,63,063 Children's Hospital Garage,9,,West,
2026-09-09T16:10:35-05:00,2026-09-09T16:00:00-05:00,76,076 University Bay Drive Ramp,108,,West,
