timestamp_local,slot_local,lot_id,name,available,total,region,raw_status
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,20,020 University Avenue Ramp,9,,Central,
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,27,027 Nancy Nicholas Hall Garage,9,,Central,
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,36,036 Observatory Drive Ramp,28,,Central,
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,67,067 Linden Drive Ramp,16,,Central,
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,7,007 Grainger Hall Garage,46,,East,
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,29,029 N Park Street Ramp,20,,East,
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,46,046 Lake & Johnson Ramp,38,,East,
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,83,083 Fluno Center Garage,5,,East,
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,17,017 Engineering Drive Ramp,84,,South,
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,80,080 Union South Garage,4,,South,
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,63,063 Children's Hospital Garage,0,,West,FULL
2026-09-04T09:53:54-05:00,2026-09-04T10:00:00-05:00,76,076 University Bay Drive Ramp,42,,West,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,20,020 University Avenue Ramp,7,,Central,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,27,027 Nancy Nicholas Hall Garage,5,,Central,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,36,036 Observatory Drive Ramp,28,,Central,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,67,067 Linden Drive Ramp,31,,Central,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,7,007 Grainger Hall Garage,35,,East,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,29,029 N Park Street Ramp,39,,East,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,46,046 Lake & Johnson Ramp,0,,East,FULL
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,83,083 Fluno Center Garage,18,,East,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,17,017 Engineering Drive Ramp,85,,South,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,80,080 Union South Garage,7,,South,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,63,063 Children's Hospital Garage,3,,West,
2026-09-04T13:14:46-05:00,2026-09-04T13:00:00-05:00,76,076 University Bay Drive Ramp,83,,West,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,20,020 University Avenue Ramp,29,,Central,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,27,027 Nancy Nicholas Hall Garage,2,,Central,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,36,036 Observatory Drive Ramp,42,,Central,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,67,067 Linden Drive Ramp,52,,Central,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,7,007 Grainger Hall Garage,56,,East,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,29,029 N Park Street Ramp,50,,East,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,46,046 Lake & Johnson Ramp,0,,East,FULL
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,83,083 Fluno Center Garage,26,,East,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,17,017 Engineering Drive Ramp,120,,South,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,80,080 Union South Garage,20,,South,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,63,063 Children's Hospital Garage,12,,West,
2026-09-04T15:51:07-05:00,2026-09-04T16:00:00-05:00,76,076 University Bay Drive Ramp,169,,West,
