timestamp_local,slot_local,lot_id,name,available,total,region,raw_status
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,20,020 University Avenue Ramp,49,,Central,
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,36,036 Observatory Drive Ramp,49,,Central,
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,67,067 Linden Drive Ramp,79,,Central,
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,6U,006U H.C. White Garage upper,23,,East,
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,7,007 Grainger Hall Garage,29,,East,
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,29,029 N Park Street Ramp,24,,East,
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,46,046 Lake & Johnson Ramp,6,,East,
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,83,083 Fluno Center Garage,31,,East,
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,17,017 Engineering Drive Ramp,18,,South,
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,80,080 Union South Garage,16,,South,
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,63,063 Children's Hospital Garage,0,,West,FULL
2026-08-20T08:30:42-05:00,2026-08-20T09:00:00-05:00,76,076 University Bay Drive Ramp,61,,West,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,20,020 University Avenue Ramp,25,,Central,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,27,027 Nancy Nicholas Hall Garage,17,,Central,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,36,036 Observatory Drive Ramp,30,,Central,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,67,067 Linden Drive Ramp,54,,Central,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,6U,006U H.C. White Garage upper,15,,East,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,7,007 Grainger Hall Garage,23,,East,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,29,029 N Park Street Ramp,16,,East,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,46,046 Lake & Johnson Ramp,0,,East,FULL
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,83,083 Fluno Center Garage,27,,East,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,17,017 Engineering Drive Ramp,3,,South,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,80,080 Union South Garage,6,,South,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,63,063 Children's Hospital Garage,5,,West,
2026-08-20T09:18:16-05:00,2026-08-20T09:00:00-05:00,76,076 University Bay Drive Ramp,31,,West,
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,20,020 University Avenue Ramp,10,,Central,
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,27,027 Nancy Nicholas Hall Garage,11,,Central,
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,36,036 Observatory Drive Ramp,17,,Central,
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,67,067 Linden Drive Ramp,31,,Central,
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,7,007 Grainger Hall Garage,38,,East,
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,29,029 N Park Street Ramp,11,,East,
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,46,046 Lake & Johnson Ramp,0,,East,FULL
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,83,083 Fluno Center Garage,23,,East,
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,17,017 Engineering Drive Ramp,43,,South,
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,80,080 Union South Garage,0,,South,FULL
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,63,063 Children's Hospital Garage,7,,West,
2026-08-20T10:08:53-05:00,2026-08-20T10:00:00-05:00,76,076 University Bay Drive Ramp,9,,West,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,20,020 University Avenue Ramp,6,,Central,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,27,027 Nancy Nicholas Hall Garage,12,,Central,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,36,036 Observatory Drive Ramp,38,,Central,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,67,067 Linden Drive Ramp,33,,Central,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,6U,006U H.C. White Garage upper,5,,East,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,7,007 Grainger Hall Garage,31,,East,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,29,029 N Park Street Ramp,7,,East,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,46,046 Lake & Johnson Ramp,4,,East,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,83,083 Fluno Center Garage,26,,East,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,17,017 Engineering Drive Ramp,28,,South,
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,80,080 Union South Garage,0,,South,FULL
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,63,063 Children's Hospital Garage,0,,West,FULL
2026-08-20T11:03:24-05:00,2026-08-20T11:00:00-05:00,76,076 University Bay Drive Ramp,45,,West,
