timestamp_local,lot_id,name,available,total,region,raw_status
2026-08-19T08:37:27-05:00,20,020 University Avenue Ramp,39,,Central,
2026-08-19T08:37:27-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-08-19T08:37:27-05:00,36,036 Observatory Drive Ramp,32,,Central,
2026-08-19T08:37:27-05:00,67,067 Linden Drive Ramp,79,,Central,
2026-08-19T08:37:27-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-08-19T08:37:27-05:00,6U,006U H.C. White Garage upper,11,,East,
2026-08-19T08:37:27-05:00,7,007 Grainger Hall Garage,39,,East,
2026-08-19T08:37:27-05:00,29,029 N Park Street Ramp,17,,East,
2026-08-19T08:37:27-05:00,46,046 Lake & Johnson Ramp,20,,East,
2026-08-19T08:37:27-05:00,83,083 Fluno Center Garage,13,,East,
2026-08-19T08:37:27-05:00,17,017 Engineering Drive Ramp,6,,South,
2026-08-19T08:37:27-05:00,80,080 Union South Garage,20,,South,
2026-08-19T08:37:27-05:00,63,063 Children's Hospital Garage,23,,West,
2026-08-19T08:37:27-05:00,76,076 University Bay Drive Ramp,14,,West,
2026-08-19T09:28:07-05:00,20,020 University Avenue Ramp,24,,Central,
2026-08-19T09:28:07-05:00,27,027 Nancy Nicholas Hall Garage,0,,Central,FULL
2026-08-19T09:28:07-05:00,36,036 Observatory Drive Ramp,41,,Central,
2026-08-19T09:28:07-05:00,67,067 Linden Drive Ramp,67,,Central,
2026-08-19T09:28:07-05:00,6L,006L H.C. White Garage lower,0,,East,FULL
2026-08-19T09:28:07-05:00,6U,006U H.C. White Garage upper,0,,East,FULL
2026-08-19T09:28:07-05:00,7,007 Grainger Hall Garage,19,,East,
2026-08-19T09:28:07-05:00,29,029 N Park Street Ramp,13,,East,
2026-08-19T09:28:07-05:00,46,046 Lake & Johnson Ramp,0,,East,FULL
2026-08-19T09:28:07-05:00,83,083 Fluno Center Garage,8,,East,
2026-08-19T09:28:07-05:00,17,017 Engineering Drive Ramp,77,,South,
2026-08-19T09:28:07-05:00,80,080 Union South Garage,3,,South,
2026-08-19T09:28:07-05:00,63,063 Children's Hospital Garage,6,,West,
2026-08-19T09:28:07-05:00,76,076 University Bay Drive Ramp,52,,West,
